year,total_enrollment,school,pinellas_flag,percent_pre_kinder_ready,percent_passing_reading,percent_passing_math,percent_free_lunch,percent_black_enrollment,majority_free_lunch_flag,majority_black_enrollment_flag,district,FF_school_flag
2014,356,CHANNELSIDE ACADEMY OF MATH AND SCIENCE      ,FALSE,95,67,67,0.258426966,0.168067227,FALSE,FALSE,HILLSBOROUGH,FALSE
2014,566,LUTZ PREPARATORY ACADEMY                     ,FALSE,98,86,85,0.035335689,0,FALSE,FALSE,HILLSBOROUGH,FALSE
2014,208,NEW SPRINGS ELEMENTARY SCHOOL                ,FALSE,80,43,49,0.798076923,0.384615385,TRUE,FALSE,HILLSBOROUGH,FALSE
2014,180,KIDS COMMUNITY COLLEGE CHARTER SE            ,FALSE,98,76,70,0.227777778,0.25,FALSE,FALSE,HILLSBOROUGH,FALSE
2014,647,TREASURE COAST ELEMENTARY SCHOOL             ,FALSE,61,58,43,0.633693972,0.105100464,TRUE,FALSE,INDIAN RIVER,FALSE
2014,718,CORDOVA PARK ELEMENTARY SCHOOL               ,FALSE,80,74,66,0.373259053,0.227019499,FALSE,FALSE,ESCAMBIA    ,FALSE
2014,1219,SAWGRASS BAY ELEMENTARY SCHOOL               ,FALSE,76,61,59,0.669401148,0.134757601,TRUE,FALSE,LAKE        ,FALSE
2014,987,GRASSY LAKE ELEMENTARY SCHOOL                ,FALSE,87,71,68,0.387031408,0.105369807,FALSE,FALSE,LAKE        ,FALSE
2014,738,SORRENTO ELEMENTARY                          ,FALSE,78,69,72,0.436314363,0.033875339,FALSE,FALSE,LAKE        ,FALSE
2014,136,HUMANITIES AND FINE ARTS CHARTER SCHOOL      ,FALSE,60,31,17,0.808823529,0.463235294,TRUE,FALSE,LAKE        ,FALSE
2014,950,RIVER HALL ELEMENTARY SCHOOL                 ,FALSE,72,56,60,0.649473684,0.141052632,TRUE,FALSE,LEE         ,FALSE
2014,748,G. WEAVER HIPPS ELEMENTARY SCHOOL            ,FALSE,76,47,50,0.806149733,0.171122995,TRUE,FALSE,LEE         ,FALSE
2014,671,PATRIOT ELEMENTARY SCHOOL                    ,FALSE,64,54,64,0.634873323,0.068554396,TRUE,FALSE,LEE         ,FALSE
2014,986,TREELINE ELEMENTARY SCHOOL                   ,FALSE,71,55,71,0.670385396,0.223123732,TRUE,FALSE,LEE         ,FALSE
2014,901,TORTUGA PRESERVE ELEMENTARY SCHOOL           ,FALSE,74,41,41,0.735849057,0.249722531,TRUE,FALSE,LEE         ,FALSE
2014,922,J MICHAEL CONLEY ELEM SCHOOL AT SOUTHWOOD    ,FALSE,81,67,64,0.336225597,0.362255965,FALSE,FALSE,LEON        ,FALSE
2014,499,ENSLEY ELEMENTARY SCHOOL                     ,FALSE,73,37,42,0.789579158,0.501002004,TRUE,TRUE,ESCAMBIA    ,FALSE
2014,373,IMAGINE SCHOOL AT EVENING ROSE               ,FALSE,94,53,34,0.450402145,0.44772118,FALSE,FALSE,LEON        ,FALSE
2014,721,ROBERT WILLIS ELEMENTARY SCHOOL              ,FALSE,91,87,90,0.162274619,0,FALSE,FALSE,MANATEE     ,FALSE
2014,882,ANNIE LUCY WILLIAMS ELEMENTARY SCHOOL        ,FALSE,90,70,74,0.280045351,0.026077098,FALSE,FALSE,MANATEE     ,FALSE
2014,550,B.D. GULLETT ELEMENTARY SCHOOL               ,FALSE,86,74,76,0.347272727,0.109090909,FALSE,FALSE,MANATEE     ,FALSE
2014,211,G.D. ROGERS GARDEN ELEMENTARY                ,FALSE,26,25,37,0.890995261,0.407582938,TRUE,FALSE,MANATEE     ,FALSE
2014,599,IMAGINE CHARTER SCHOOL AT NORTH MANATEE      ,FALSE,82,55,46,0.412353923,0.091819699,FALSE,FALSE,MANATEE     ,FALSE
2014,759,HAMMETT BOWEN JR. ELEMENTARY SCHOOL          ,FALSE,83,62,65,0.370223979,0.143421053,FALSE,FALSE,MARION      ,FALSE
2014,756,MARION OAKS ELEMENTARY SCHOOL                ,FALSE,74,46,50,0.464285714,0.189403974,FALSE,FALSE,MARION      ,FALSE
2014,701,FERRY PASS ELEMENTARY SCHOOL                 ,FALSE,60,56,56,0.741797432,0.350927247,TRUE,FALSE,ESCAMBIA    ,FALSE
2014,577,LEGACY ELEMENTARY SCHOOL                     ,FALSE,75,49,53,0.512998267,0.242634315,TRUE,FALSE,MARION      ,FALSE
2014,590,CITRUS GROVE ELEMENTARY                      ,FALSE,81,73,80,0.215254237,0,FALSE,FALSE,MARTIN      ,FALSE
2014,413,MOLINO PARK ELEMENTARY                       ,FALSE,77,68,71,0.566585956,0,TRUE,FALSE,ESCAMBIA    ,FALSE
2014,106,ASPIRE ACADEMY CHARTER                       ,FALSE,53,18,5,0.858490566,0.754716981,TRUE,TRUE,ORANGE      ,FALSE
2014,122,KIDS COMMUNITY COLLEGE CHARTER               ,FALSE,97,92,77,0,0,FALSE,FALSE,ORANGE      ,FALSE
2014,261,ORLANDO SCIENCE ELEMENTARY CHARTER           ,FALSE,94,87,79,0.252873563,0.191570881,FALSE,FALSE,ORANGE      ,FALSE
2014,235,PINECREST CREEK CHARTER                      ,FALSE,73,39,38,0,0.889361702,FALSE,TRUE,ORANGE      ,FALSE
2014,680,EAST LAKE ELEMENTARY                         ,FALSE,75,76,77,0.373529412,0.079411765,FALSE,FALSE,ORANGE      ,FALSE
2014,1190,AUDUBON PARK ELEMENTARY                      ,FALSE,76,77,74,0.340336134,0.078151261,FALSE,FALSE,ORANGE      ,FALSE
2014,577,CONWAY ELEMENTARY                            ,FALSE,80,55,57,0.757365685,0.185441941,TRUE,FALSE,ORANGE      ,FALSE
2014,699,LOVELL ELEMENTARY                            ,FALSE,66,40,54,0,0.201716738,FALSE,FALSE,ORANGE      ,FALSE
2014,675,ROLLING HILLS ELEMENTARY                     ,FALSE,57,40,45,0,0.878518519,FALSE,TRUE,ORANGE      ,FALSE
2014,1055,CLARCONA ELEMENTARY                          ,FALSE,74,57,51,0.639810427,0.442654028,TRUE,FALSE,ORANGE      ,FALSE
2014,871,ROSEMONT ELEMENTARY                          ,FALSE,72,35,36,0,0.817451206,FALSE,TRUE,ORANGE      ,FALSE
2014,472,SUNRISE ELEMENTARY                           ,FALSE,87,82,83,0.13559322,0.06779661,FALSE,FALSE,ORANGE      ,FALSE
